URL,Total URL length,netloc length,Query Length,count digits,count reserved char,has https,Country Code TLD,Generic TLD,is shortened TLD,has Port,has username,has fragments,num queries (count =),URL encoding,Path length,Path depth,Path digit counts,Path special character count,Page title,mimeType,status,redirected,ranking,country,server,tlsIssuer,tlsValidDays,numRequest,num Links,num Cookies,num Console Msg,urlscan Score,urlscan category,JS_count_link,JS_count_eval,JS_count_exec,JS_count_unescape,JS_count_search,JS_count_find,JS_count_escape,JS_presence_iframe,presence_window.open,label
http://imtoken-aw.com/,15,14,0,0,2,0,Global,Commercial,0,0,0,0,0,0,1,0,0,1,imToken 官网｜以太坊和比特币区块链钱包,text/html,200.0,https-only,,US,cloudflare,GTS CA 1P5,89.0,16.0,0.0,0.0,1.0,100.0,['phishing'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
http://aptos-web-git-chore-shows-the-staking-token-website.pancake.run/,64,63,0,0,10,0,Global,Unknown,0,0,0,0,0,0,1,0,0,1,Exchange | PancakeSwap,text/html,200.0,same-domain,,US,Vercel,R3,89.0,85.0,52.0,2.0,0.0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
http://ipfs.io/ipfs/QmUTnUaqustM6na1qX9aXDBc6T9wCvcoDLgYxrWew6gWqR,59,7,0,0,1,0,British Indian Ocean Territory,Country,0,0,0,0,0,0,52,2,6,2,Webmail,text/html,200.0,https-only,52118.0,US,openresty,R3,89.0,6.0,0.0,0.0,1.0,100.0,['phishing'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
http://security-page-community-standards.blogspot.be/,46,45,0,0,5,0,Belgium,Country,0,0,0,0,0,0,1,0,0,1,facebook security,text/html,200.0,off-domain,,DE,GSE,GTS CA 1C3,83.0,6.0,1.0,0.0,0.0,0.0,[],0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
http://worker-broad-feather-6fae.jecijay510.workers.dev/,49,48,0,4,6,0,Global,Unknown,0,0,0,0,0,0,1,0,0,1,,text/html,200.0,https-only,,US,cloudflare,E1,89.0,13.0,0.0,0.0,8.0,100.0,['phishing'],0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1
http://hjkkkkk.pages.dev/,18,17,0,0,2,0,Global,Unknown,0,0,0,0,0,0,1,0,0,1,Webmail Portal Login,text/html,200.0,https-only,,NL,cloudflare,E1,89.0,12.0,0.0,0.0,2.0,100.0,['phishing'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
http://ligoj99607vreaa.pages.dev/,26,25,0,5,2,0,Global,Unknown,0,0,0,0,0,0,1,0,0,1,Webmail :: Welcome to WebmailWebmail :: Welcome to Webmail,text/html,200.0,https-only,,NL,cloudflare,GTS CA 1P5,89.0,14.0,1.0,0.0,9.0,0.0,[],0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
http://verify-business.info/,21,20,0,0,2,0,Global,information,0,0,0,0,0,0,1,0,0,1,Trademark Infringement,text/html,200.0,same-domain,,US,cloudflare,GTS CA 1P5,89.0,12.0,0.0,1.0,1.0,0.0,[],0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1
http://bet365ok02.com/,15,14,0,5,1,0,Global,Commercial,0,0,0,0,0,0,1,0,0,1,bet365 -No.1 体育投注，世界锦标赛斯诺克赔率，百家乐娱乐场，扑克牌，电子游戏,text/html,200.0,same-domain,,HK,,R3,89.0,333.0,3.0,4.0,4.0,100.0,['phishing'],1.0,1.0,2.0,2.0,0.0,69.0,3.0,1.0,1.0,1
http://bafybeib27nxocilkanl6xfkiyxj2nmgjkmod7rt6fokuicrxiv4bpmzokm.ipfs.dweb.link/,75,74,0,7,3,0,Global,Unknown,0,0,0,0,0,0,1,0,0,1,Webmail,text/html,200.0,https-only,,US,openresty,R3,89.0,6.0,0.0,0.0,1.0,100.0,['phishing'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
http://metamasskluginn.blogspot.se/,28,27,0,0,2,0,Sweden,Country,0,0,0,0,0,0,1,0,0,1,metamask login,text/html,200.0,off-domain,,DE,GSE,GTS CA 1C3,83.0,39.0,27.0,0.0,60.0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
http://bafybeidgds6voshppqaascc3fsc5rx2cy7xo2q3b3bcnpdmexqi3mdv5k4.ipfs.dweb.link/,75,74,0,11,3,0,Global,Unknown,0,0,0,0,0,0,1,0,0,1,Webmail,text/html,200.0,https-only,,US,openresty,R3,89.0,6.0,0.0,0.0,1.0,100.0,['phishing'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
http://hello-world-silent-meadow-7f11.rupsosuste.workers.dev/,54,53,0,3,7,0,Global,Unknown,0,0,0,0,0,0,1,0,0,1,,text/html,200.0,https-only,,US,cloudflare,GTS CA 1P5,89.0,6.0,0.0,0.0,2.0,100.0,['phishing'],0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
http://www.356551.com/,11,14,0,6,2,0,Global,Commercial,0,0,0,0,0,0,1,0,0,1,bet365605,text/html,200.0,off-domain,,HK,cdn,R3,89.0,157.0,1.0,3.0,1.0,100.0,['phishing'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
http://lantanetwork.me3147.workers.dev/,32,31,0,4,3,0,Global,Unknown,0,0,0,0,0,0,1,0,0,1,Aanmelden bij uw account,text/html,200.0,same-domain,,NL,cloudflare,Cloudflare Inc ECC CA-3,365.0,14.0,2.0,9.0,4.0,100.0,['phishing'],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
http://aolmaiillogin.blogspot.tw/,26,25,0,0,2,0,Taiwan,Country,0,0,0,0,0,0,1,0,0,1,AOL Mail Login : How to Create a Free AOL Email Account,text/html,200.0,off-domain,,DE,GSE,GTS CA 1C3,83.0,11.0,5.0,0.0,0.0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
http://juno-message-center-108114.weeblysite.com/,42,41,0,6,5,0,Global,Commercial,0,0,0,0,0,0,1,0,0,1,Home | Juno message center,text/html,200.0,https-only,,US,cloudflare,Cloudflare Inc ECC CA-3,364.0,82.0,3.0,10.0,8.0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
http://bafybeidkcrkzevxoeypt5he5hjhpdcepqkuebcjhgbha6vjeyxpb37t5wm.ipfs.dweb.link/,75,74,0,6,3,0,Global,Unknown,0,0,0,0,0,0,1,0,0,1,Webmail,text/html,200.0,https-only,,US,openresty,R3,89.0,6.0,0.0,0.0,1.0,100.0,['phishing'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
http://meteengeld.altervista.org/,26,25,0,0,2,0,Global,Organisation,0,0,0,0,0,0,1,0,0,1,Google,text/html,200.0,https-only,,DE,Apache,R3,89.0,20.0,39.0,1.0,10.0,0.0,[],0.0,1.0,25.0,0.0,5.0,0.0,0.0,0.0,0.0,1
http://dhl-tracking-au.blogspot.md/,28,27,0,0,4,0,Moldova,Country,0,0,0,0,0,0,1,0,0,1,DHL Tracking,text/html,200.0,off-domain,,US,GSE,GTS CA 1C3,83.0,10.0,4.0,0.0,0.0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
http://coinbase-pro-loin.godaddysites.com/,35,34,0,0,4,0,Global,Commercial,0,0,0,0,0,0,1,0,0,1,Coinbase Pro | Digital Asset Exchange,text/html,200.0,https-only,,US,DPS/2.0.0+sha-a11bcf8,Go Daddy Secure Certificate Authority - G2,397.0,31.0,0.0,1.0,2.0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
http://nd82.pages.dev/,15,14,0,2,2,0,Global,Unknown,0,0,0,0,0,0,1,0,0,1,Yahoo,text/html,200.0,https-only,,US,cloudflare,GTS CA 1P5,89.0,19.0,2.0,2.0,4.0,100.0,['phishing'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
http://www.9955333.cc/,11,14,0,7,2,0,Cocos Islands,Country,0,0,0,0,0,0,1,0,0,1,,text/html,200.0,same-domain,,HK,,R3,89.0,34.0,0.0,2.0,1.0,100.0,['phishing'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
http://babysej.github.io/,18,17,0,0,2,0,British Indian Ocean Territory,Country,0,0,0,0,0,0,1,0,0,1,Facebook -log in or sign up,text/html,200.0,https-only,,US,GitHub.com,DigiCert Global G2 TLS RSA SHA256 2020 CA1,364.0,3.0,0.0,0.0,3.0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
http://discord.aidrawlabs.com/,23,22,0,0,2,0,Global,Commercial,0,0,0,0,0,0,1,0,0,1,Discord | Your Place to Talk and Hang Out,text/html,200.0,https-only,,SG,nginx,TrustAsia RSA DV TLS CA G2,365.0,50.0,38.0,8.0,18.0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
http://token-pockot.net/,17,16,0,0,2,0,Global,Network,0,0,0,0,0,0,1,0,0,1,TokenPocket - 让区块链随处发生 |,text/html,200.0,https-only,,ZA,nginx,R3,89.0,38.0,0.0,4.0,3.0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
http://caganapinc.com/office87dhdy7/adonbe/Adobe.html,46,14,0,0,1,0,Global,Commercial,0,0,0,0,0,0,32,3,3,4,Adobe Online,text/html,200.0,https-only,,US,Apache,R3,89.0,15.0,0.0,1.0,8.0,100.0,['phishing'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
http://worker-misty-base-6a04.mrinaldi.workers.dev/,44,43,0,3,6,0,Global,Unknown,0,0,0,0,0,0,1,0,0,1,Sign in to your account,text/html,200.0,https-only,,US,cloudflare,GTS CA 1P5,89.0,17.0,0.0,0.0,10.0,100.0,['phishing'],0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
http://strong-pastelito-06bf5f.netlify.app/,36,35,0,3,4,0,Global,Unknown,0,0,0,0,0,0,1,0,0,1,Sign in your account,text/html,200.0,https-only,,DE,Netlify,DigiCert Global G2 TLS RSA SHA256 2020 CA1,396.0,8.0,0.0,6.0,22.0,0.0,[],0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1
http://airbnbo.com/,12,11,0,0,1,0,Global,Commercial,0,0,0,0,0,0,1,0,0,1,Airbnb,text/html,200.0,https-only,,US,nginx/1.18.0 (Ubuntu),R3,89.0,32.0,0.0,0.0,0.0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
http://news.midas-redeem.com/,22,21,0,0,3,0,Global,Commercial,0,0,0,0,0,0,1,0,0,1,PUBG Mobile - MIDASBUY,text/html,200.0,https-only,,NL,cloudflare,E1,89.0,6.0,0.0,1.0,4.0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
https://www.aa551008.com/,13,16,0,6,2,1,Global,Commercial,0,0,0,0,0,0,1,0,0,1,BET365,text/html,200.0,same-domain,,HK,,R3,89.0,201.0,13.0,2.0,1.0,100.0,['phishing'],0.0,1.0,2.0,2.0,0.0,65.0,3.0,1.0,1.0,1
http://marsh-cheerful-crate.glitch.me/,31,30,0,0,4,0,Montenegro,Country,0,0,0,0,0,0,1,0,0,1,Webmail Portal Login,text/html,200.0,https-only,,US,AmazonS3,Amazon RSA 2048 M03,394.0,7.0,0.0,0.0,2.0,100.0,['phishing'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
http://hello-world-twilight-field-f884.mrinaldi.workers.dev/,53,52,0,3,7,0,Global,Unknown,0,0,0,0,0,0,1,0,0,1,Sign in to your account,text/html,200.0,https-only,,NL,cloudflare,GTS CA 1P5,89.0,19.0,0.0,0.0,10.0,100.0,['phishing'],0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
http://northlandpaddlers.org/blog/Meta/FGHJSGHDFGHKSDHGJKSGHDF/qsgdcghjqsdhgjqgshjdghjqsghdj/,86,21,0,0,1,0,Global,Organisation,0,0,0,0,0,0,65,4,0,5,МЕТАМАSK,text/html,200.0,https-only,,US,cloudflare,GTS CA 1P5,89.0,18.0,0.0,1.0,4.0,100.0,['phishing'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
https://3656b.xyz/,10,9,0,4,1,1,Global,Unknown,0,0,0,0,0,0,1,0,0,1,bet365 -No.1 体育投注，世界锦标赛斯诺克赔率，百家乐娱乐场，扑克牌，电子游戏,text/html,200.0,same-domain,,HK,,R3,89.0,333.0,3.0,4.0,4.0,100.0,['phishing'],1.0,1.0,2.0,2.0,0.0,69.0,3.0,1.0,1.0,1
https://www-swisspass-login-swisspass-mygov.codeanyapp.com/CHFINALE/,60,50,0,0,6,1,Global,Commercial,0,0,0,0,0,0,10,1,0,2,Login | SwissPass,text/html,200.0,,,US,openresty,R3,89.0,14.0,4.0,1.0,8.0,100.0,['phishing'],0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1
http://att-sign-in-105669.weeblysite.com/,34,33,0,6,5,0,Global,Commercial,0,0,0,0,0,0,1,0,0,1,Login | Screen,text/html,200.0,https-only,,US,cloudflare,Cloudflare Inc ECC CA-3,364.0,83.0,2.0,10.0,8.0,100.0,['phishing'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
http://336655v.com/,12,11,0,6,1,0,Global,Commercial,0,0,0,0,0,0,1,0,0,1,bet365 -No.1 体育投注，世界锦标赛斯诺克赔率，百家乐娱乐场，扑克牌，电子游戏,text/html,200.0,same-domain,,HK,,R3,89.0,332.0,3.0,4.0,3.0,100.0,['phishing'],1.0,1.0,2.0,2.0,0.0,69.0,3.0,1.0,1.0,1
http://muhammedasfacknk.github.io/Netflix-Clone/,41,26,0,0,2,0,British Indian Ocean Territory,Country,0,0,0,0,0,0,15,1,0,3,Netflix,text/html,200.0,https-only,,US,GitHub.com,DigiCert Global G2 TLS RSA SHA256 2020 CA1,364.0,17.0,0.0,0.0,1.0,100.0,['phishing'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
