URL,Total URL length,netloc length,Query Length,count digits,count reserved char,has https,Country Code TLD,Generic TLD,is shortened TLD,has Port,has username,has fragments,num queries (count =),URL encoding,Path length,Path depth,Path digit counts,Path special character count,Page title,mimeType,status,redirected,ranking,country,server,tlsIssuer,tlsValidDays,numRequest,num Links,num Cookies,num Console Msg,urlscan Score,urlscan category
https://uxsingh.com/uxsingh.jpg,23,11,0,0,1,1,Global,Commercial,0,0,0,0,0,0,12,1,0,2,,,400,,,,,,,,,,,,
http://49.142.114.242:6220/.i,22,19,0,15,3,0,Global,Unknown,0,1,0,0,0,0,3,1,0,2,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,[]
http://37.34.209.216:59068/.i,22,19,0,15,3,0,Global,Unknown,0,1,0,0,0,0,3,1,0,2,,application/octet-stream,200,,,KW,,,,1.0,0.0,0.0,0.0,0.0,[]
http://203.217.100.150:34020/.i,24,21,0,17,3,0,Global,Unknown,0,1,0,0,0,0,3,1,0,2,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,[]
http://78.188.27.225:4782/.i,21,18,0,14,3,0,Global,Unknown,0,1,0,0,0,0,3,1,0,2,,application/octet-stream,200,,,TR,,,,1.0,0.0,0.0,0.0,0.0,[]
http://212.231.226.35:27102/.i,23,20,0,16,3,0,Global,Unknown,0,1,0,0,0,0,3,1,0,2,,application/octet-stream,200,,,ES,,,,1.0,0.0,0.0,0.0,0.0,[]
http://219.89.123.232:62391/.i,23,20,0,16,3,0,Global,Unknown,0,1,0,0,0,0,3,1,0,2,,application/octet-stream,200,,,NZ,,,,1.0,0.0,0.0,0.0,0.0,[]
http://oazahotel.com.mk/more.exe,25,16,0,0,2,0,North Macedonia,Country,0,0,0,0,0,0,9,1,0,2,,application/x-msdownload,200,https-only,,US,Apache,R3,89,1.0,0.0,0.0,0.0,0.0,[]
http://128.92.210.156:46915/.i,23,20,0,16,3,0,Global,Unknown,0,1,0,0,0,0,3,1,0,2,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,[]
http://68.169.168.177:28180/.i,23,20,0,16,3,0,Global,Unknown,0,1,0,0,0,0,3,1,0,2,,application/octet-stream,200,,,US,,,,1.0,0.0,0.0,0.0,0.0,[]
http://113.61.2.23:35326/.i,20,17,0,13,3,0,Global,Unknown,0,1,0,0,0,0,3,1,0,2,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,[]
http://109.92.28.89:36032/.i,21,18,0,14,3,0,Global,Unknown,0,1,0,0,0,0,3,1,0,2,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,[]
http://xt.lykj988.com/down/fileren.exe,31,14,0,3,2,0,Global,Commercial,0,0,0,0,0,0,17,2,0,3,xt.lykj988.com,text/plain,514,https-only,,CN,SLT,TrustAsia RSA DV TLS CA G3,395,5.0,0.0,0.0,1.0,0.0,[]
https://xn----7sbhgfcdscaa3cdd6dq3e3dvf.xn--p1ai/static/software/T1_Net.exe,67,40,0,6,7,1,Global,Unknown,0,0,0,0,0,0,27,3,1,5,,application/octet-stream,200,,,RU,nginx,GlobalSign GCC R3 DV TLS CA 2020,396,1.0,0.0,0.0,0.0,0.0,[]
http://109.92.181.49:28800/.i,22,19,0,15,3,0,Global,Unknown,0,1,0,0,0,0,3,1,0,2,,application/octet-stream,200,,,RS,,,,1.0,0.0,0.0,0.0,0.0,[]
http://194.145.227.21/ldr.sh?le0943_http,33,14,11,11,3,0,Global,Unknown,0,0,0,0,1,0,7,1,0,2,,text/x-sh,200,,,NL,,,,2.0,0.0,0.0,1.0,0.0,[]
http://84.22.136.158:32729/.i,22,19,0,15,3,0,Global,Unknown,0,1,0,0,0,0,3,1,0,2,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,[]
http://185.215.113.84/peinf.exe,24,14,0,11,3,0,Global,Unknown,0,0,0,0,0,0,10,1,0,2,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,[]
http://185.215.113.84/tpeinf.exe,25,14,0,11,3,0,Global,Unknown,0,0,0,0,0,0,11,1,0,2,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,[]
https://canconsulting.in/includes/TAX%20Invoice.zip,43,16,0,0,1,1,India,Country,0,0,0,0,0,1,27,2,2,4,,,400,,,,,,,,,,,,
http://british-shorthair.es/axe/DKFSGF2M/,34,20,0,0,2,0,Spain,Country,0,0,0,0,0,0,14,2,1,3,,text/html,200,,,DE,Apache,,,2.0,0.0,0.0,0.0,0.0,[]
https://xz888.oss-cn-hangzhou.aliyuncs.com/5w/%E4%BA%94%E5%91%B3%E4%BC%A0%E5%A5%87.exe,78,34,0,3,5,1,Global,Commercial,0,0,0,0,0,12,44,2,14,15,,application/x-msdownload,200,,,CN,AliyunOSS,GlobalSign Organization Validation CA - SHA256 - G3,396,1.0,0.0,0.0,0.0,0.0,[]
http://aosafrica.co.za/5j1ae/ApMYYqsc6Q3p5Y/,37,15,0,0,2,0,South Africa,Country,0,0,0,0,0,0,22,2,5,3,File Download,text/html,200,https-only,,ZA,Microsoft-IIS/10.0,R3,89,5.0,1.0,1.0,0.0,0.0,[]
http://british-shorthair.es/axe/tWL/,29,20,0,0,2,0,Spain,Country,0,0,0,0,0,0,9,2,0,3,,text/html,200,,,DE,Apache,,,2.0,0.0,0.0,0.0,0.0,[]
http://88.247.222.82:8272/.i,21,18,0,14,3,0,Global,Unknown,0,1,0,0,0,0,3,1,0,2,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,[]
http://49.158.204.118:18461/.i,23,20,0,16,3,0,Global,Unknown,0,1,0,0,0,0,3,1,0,2,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,[]
http://server.easysalepage.in.th/jsasynci/8673380355246647760559.xlsb,62,25,0,0,3,0,Thailand,Country,0,0,0,0,0,0,37,2,22,3,,application/octet-stream,200,https-only,,TH,LiteSpeed,localhost,9999,1.0,0.0,0.0,0.0,0.0,[]
http://123.241.57.252:65057/.i,23,20,0,16,3,0,Global,Unknown,0,1,0,0,0,0,3,1,0,2,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,[]
http://server.easysalepage.in.th/jsasynci/89205643570.xlsb,51,25,0,0,3,0,Thailand,Country,0,0,0,0,0,0,26,2,11,3,,application/octet-stream,200,https-only,,TH,LiteSpeed,localhost,9999,1.0,0.0,0.0,0.0,0.0,[]
https://www.TradeInsights.net/images/eqrKn0KrsN2NbhkpbE4fw0X/,49,21,0,0,2,1,Global,Network,0,0,0,0,0,0,32,2,4,3,,,400,,,,,,,,,,,,
http://casamuseoayerbe.co/cgi-bin/ZQ2d3dEWvlA1pXG/,43,18,0,0,1,0,Colombia,Country,0,0,0,0,0,0,25,2,3,4,File Download,text/html,200,https-only,,CO,Apache,R3,89,5.0,0.0,1.0,0.0,0.0,[]
http://87.26.181.132:25500/.i,22,19,0,15,3,0,Global,Unknown,0,1,0,0,0,0,3,1,0,2,,,400,,,,,,,,,,,,
http://111.185.63.165:53565/.i,23,20,0,16,3,0,Global,Unknown,0,1,0,0,0,0,3,1,0,2,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,[]
http://server.toeicswt.co.kr/svr_netchecker/server.asp?V_COMMAND=3002&V_PROGNAME=SJPTManagerLauncher.exe,97,21,49,0,3,0,South Korea,Country,0,0,0,0,2,0,26,2,0,4,,,400,,,,,,,,,,,,
https://www.roofing.galacticleads.com/u6uuyrd6u.tar,39,29,0,0,3,1,Global,Commercial,0,0,0,0,0,0,14,1,2,2,,application/x-tar,200,,,GB,LiteSpeed,R3,89,1.0,0.0,0.0,0.0,0.0,[]
http://kimyen.net/upload/VLTKTanthuTN.exe,34,10,0,0,1,0,Global,Network,0,0,0,0,0,0,24,2,0,3,,application/octet-stream,200,,,VN,openresty,,,1.0,0.0,0.0,0.0,0.0,[]
http://196.221.148.92:54278/.i,23,20,0,16,3,0,Global,Unknown,0,1,0,0,0,0,3,1,0,2,,application/octet-stream,200,,,EG,,,,1.0,0.0,0.0,0.0,0.0,[]
http://108.46.196.185:7905/.i,22,19,0,15,3,0,Global,Unknown,0,1,0,0,0,0,3,1,0,2,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,[]
https://33rdderryscouts.com//wp-content/plugins/simple-responsive-slider/classes/win.txt,80,19,0,2,1,1,Global,Commercial,0,0,0,0,0,0,61,4,0,10,,text/plain,200,,,GB,Apache,"cPanel, Inc. Certification Authority",90,2.0,0.0,0.0,0.0,0.0,[]
http://www.teknoarge.com/update/ana/Update.exe,35,17,0,0,2,0,Global,Commercial,0,0,0,0,0,0,22,3,0,4,,application/x-msdownload,200,https-only,,TR,nginx,R3,89,1.0,0.0,0.0,0.0,0.0,[]
http://101.51.121.206/scripts/23s,26,14,0,11,3,0,Global,Unknown,0,0,0,0,0,0,12,2,2,2,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,[]
http://101.51.121.206/scripts/23,25,14,0,11,3,0,Global,Unknown,0,0,0,0,0,0,11,2,2,2,,application/octet-stream,200,,,TH,Jetty(9.4.z-SNAPSHOT),,,1.0,0.0,0.0,0.0,0.0,[]
http://dl.9xu.com/js/ueditor/lang/zh-cn/images/horn.php,48,10,0,1,2,0,Global,Commercial,0,0,0,0,0,0,38,6,0,8,502 Bad Gateway,text/html,502,https-only,,CN,openresty,Let's Encrypt Authority X3,90,2.0,0.0,0.0,2.0,0.0,[]
http://dl.9xu.com/js/ueditor/lang/zh-cn/images/mug.php,47,10,0,1,2,0,Global,Commercial,0,0,0,0,0,0,37,6,0,8,502 Bad Gateway,text/html,502,https-only,,CN,openresty,Let's Encrypt Authority X3,90,2.0,0.0,0.0,2.0,0.0,[]
http://dl.9xu.com/js/ueditor/lang/zh-cn/images/inverting.php,53,10,0,1,2,0,Global,Commercial,0,0,0,0,0,0,43,6,0,8,502 Bad Gateway,text/html,502,https-only,,CN,openresty,Let's Encrypt Authority X3,90,1.0,0.0,0.0,1.0,0.0,[]
http://dl.9xu.com/js/ueditor/lang/zh-cn/images/apportion.php,53,10,0,1,2,0,Global,Commercial,0,0,0,0,0,0,43,6,0,8,502 Bad Gateway,text/html,502,https-only,,CN,openresty,Let's Encrypt Authority X3,90,2.0,0.0,0.0,2.0,0.0,[]
http://dl.9xu.com/js/ueditor/lang/zh-cn/images/subdivider.php,54,10,0,1,2,0,Global,Commercial,0,0,0,0,0,0,44,6,0,8,502 Bad Gateway,text/html,502,https-only,,CN,openresty,Let's Encrypt Authority X3,90,2.0,0.0,0.0,2.0,0.0,[]
http://dl.9xu.com/js/ueditor/lang/zh-cn/images/streamlined.php,55,10,0,1,2,0,Global,Commercial,0,0,0,0,0,0,45,6,0,8,502 Bad Gateway,text/html,502,https-only,,CN,openresty,Let's Encrypt Authority X3,90,1.0,0.0,0.0,1.0,0.0,[]
http://dl.9xu.com/js/ueditor/lang/zh-cn/images/superstitions.php,57,10,0,1,2,0,Global,Commercial,0,0,0,0,0,0,47,6,0,8,502 Bad Gateway,text/html,502,https-only,,CN,openresty,Let's Encrypt Authority X3,90,1.0,0.0,0.0,1.0,0.0,[]
https://drive.google.com/uc?export=download&id=12Ma_YvBmprTs6E_VkFNMWIkRNWSARQbW,72,16,52,0,2,1,Global,Commercial,0,0,0,0,2,0,3,1,0,1,,,400,,,,,,,,,,,,
https://drive.google.com/uc?export=download&id=1O9jG3OQYEWNcoPTigwsCdbTfMvtfQyGJ,72,16,52,0,2,1,Global,Commercial,0,0,0,0,2,0,3,1,0,1,,,400,,,,,,,,,,,,
http://95.158.69.35:16506/.i,21,18,0,14,3,0,Global,Unknown,0,1,0,0,0,0,3,1,0,2,,application/octet-stream,200,,,PL,,,,1.0,0.0,0.0,0.0,0.0,[]
https://www.saf-oil.ru/downloads/safmanager/safman_setup.exe,48,14,0,0,3,1,Russia,Country,0,0,0,0,0,0,38,3,0,5,,application/octet-stream,200,,,RU,nginx-reuseport/1.21.1,R3,89,1.0,0.0,0.0,0.0,0.0,[]
https://codeload.github.com/mr-r3b00t/RDP_Backdoor/zip/refs/heads/main,62,19,0,0,2,1,Global,Commercial,0,0,0,0,0,0,43,6,3,8,,,400,,,,,,,,,,,,
https://github.com/mr-r3b00t/RDP_Backdoor/archive/refs/heads/main.zip,61,10,0,0,1,1,Global,Commercial,0,0,0,0,0,0,51,6,3,9,,,400,,,,,,,,,,,,
http://219.68.245.35:21388/.i,22,19,0,15,3,0,Global,Unknown,0,1,0,0,0,0,3,1,0,2,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,[]
http://lastimaners.ug/zxcv.EXE,23,14,0,0,1,0,Uganda,Country,0,0,0,0,0,0,9,1,0,2,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,[]
http://lastimaners.ug/asdfg.exe,24,14,0,0,1,0,Uganda,Country,0,0,0,0,0,0,10,1,0,2,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,[]
http://lastimaners.ug/asdf.EXE,23,14,0,0,1,0,Uganda,Country,0,0,0,0,0,0,9,1,0,2,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,[]
http://lastimaners.ug/zxcvb.exe,24,14,0,0,1,0,Uganda,Country,0,0,0,0,0,0,10,1,0,2,,application/x-msdos-program,200,,,RU,nginx/1.18.0,,,1.0,0.0,0.0,0.0,0.0,[]
http://files5.uludagbilisim.com/OrtakModul/NBYS%20ASM.NET.exe,54,24,0,1,2,0,Global,Commercial,0,0,0,0,0,1,30,2,2,5,,application/octet-stream,200,https-only,,TR,Microsoft-IIS/10.0,host-14,364,1.0,0.0,0.0,0.0,0.0,[]
http://files5.uludagbilisim.com/nbys.aspx?f=aile_hekimligi/NBYS%20AH.NET.exe,69,24,34,1,2,0,Global,Commercial,0,0,0,0,1,1,10,1,0,2,,application/octet-stream,200,https-only,,TR,Microsoft-IIS/10.0,host-14,364,1.0,0.0,0.0,0.0,0.0,[]
http://203.223.44.206:8418/.i,22,19,0,15,3,0,Global,Unknown,0,1,0,0,0,0,3,1,0,2,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,[]
http://182.253.205.235:8600/.i,23,20,0,16,3,0,Global,Unknown,0,1,0,0,0,0,3,1,0,2,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,[]
